Date,Discharge (cfs)
5/24/2015,924.4895833
5/25/2015,1037.043478
5/26/2015,2627.052632
5/27/2015,2844.375
5/28/2015,2909.894737
5/29/2015,2685.425532
5/30/2015,2333.541667
5/31/2015,2145.625
6/1/2015,1951.979167
6/2/2015,1743.125
6/3/2015,1458.541667
6/4/2015,1192.822917
6/5/2015,679.1145833
6/6/2015,311.4375
6/7/2015,181.3645833
6/8/2015,123.0729167
6/9/2015,88.73645833
6/10/2015,68.09583333
6/11/2015,56.55473684
6/12/2015,62.50520833
6/13/2015,89.98541667
6/14/2015,73.525
6/15/2015,84.89791667
6/16/2015,112.9125
6/17/2015,341.7395833
6/18/2015,703.2747253
6/19/2015,1003.15625
6/20/2015,945.28125
6/21/2015,873.3541667
6/22/2015,531.0208333
6/23/2015,236.4166667
6/24/2015,113.1354167
6/25/2015,74.79583333
6/26/2015,58.21458333
6/27/2015,45.39479167
6/28/2015,365.2847826
6/29/2015,449.8888889
6/30/2015,675.0843373
7/1/2015,594.106383
7/2/2015,265.1195652
7/3/2015,126.7152174
7/4/2015,76.253125
7/5/2015,56.28125
7/6/2015,44.70104167
7/7/2015,36.53958333
7/8/2015,30.52916667
7/9/2015,25.34583333
7/10/2015,22.45729167
7/11/2015,21.07708333
7/12/2015,33.853125
7/13/2015,27.30625
7/14/2015,20.22604167
7/15/2015,19.34270833
7/16/2015,24.325
7/17/2015,17.50416667
7/18/2015,16.05833333
7/19/2015,18.85
7/20/2015,15.63854167
7/21/2015,12.825
7/22/2015,12.87291667
7/23/2015,12.11875
7/24/2015,10.93833333
7/25/2015,9.6078125
7/26/2015,10.23364583
7/27/2015,10.84979167
7/28/2015,14.35625
7/29/2015,15.790625
7/30/2015,9.208229167
7/31/2015,33.81760417
8/1/2015,16.63645833
8/2/2015,10.20052083
8/3/2015,7.199270833
8/4/2015,4.479270833
8/5/2015,4.852395833
8/6/2015,6.7771875
8/7/2015,7.743333333
8/8/2015,8.259895833
8/9/2015,11.990625
8/10/2015,10.54270833
8/11/2015,6.5615625
8/12/2015,12.40583333
8/13/2015,13.5425
8/14/2015,8.364166667
8/15/2015,6.3715625
8/16/2015,7.512916667
8/17/2015,31.41145833
8/18/2015,15.13229167
8/19/2015,35.55666667
8/20/2015,209.4072917
8/21/2015,455.7708333
8/22/2015,268.625
8/23/2015,141.4677083
8/24/2015,60.05833333
8/25/2015,142.1427083
8/26/2015,128.078125
8/27/2015,44.95520833
8/28/2015,27.525
8/29/2015,20.346875
8/30/2015,15.53333333
8/31/2015,15.08854167
9/1/2015,11.32083333
9/2/2015,14.67458333
9/3/2015,13.06770833
9/4/2015,44.359375
9/5/2015,164.8239583
9/6/2015,91.1
9/7/2015,25.79583333
9/8/2015,19.415625
9/9/2015,16.76458333
9/10/2015,17.218125
9/11/2015,338.4989583
9/12/2015,429.28125
9/13/2015,163.7541667
9/14/2015,58.6
9/15/2015,34.97916667
9/16/2015,30.73645833
9/17/2015,31.19895833
9/18/2015,26.825
9/19/2015,20.85520833
9/20/2015,15.77604167
9/21/2015,11.654375
9/22/2015,8.840208333
9/23/2015,6.483333333
9/24/2015,5.649270833
9/25/2015,5.151458333
9/26/2015,4.8878125
9/27/2015,5.1534375
9/28/2015,7.0596875
9/29/2015,6.659479167
9/30/2015,6.604895833
10/1/2015,5.324479167
10/2/2015,4.723645833
10/3/2015,4.0621875
10/4/2015,4.1328125
10/5/2015,4.824166667
10/6/2015,4.6725
10/7/2015,4.172395833
10/8/2015,5.6803125
10/9/2015,8.470520833
10/10/2015,6.918541667
10/11/2015,5.842395833
10/12/2015,5.318229167
10/13/2015,4.824479167
10/14/2015,4.216145833
10/15/2015,3.359895833
10/16/2015,3.405625
10/17/2015,2.58
10/18/2015,2.644166667
10/19/2015,3.529583333
10/20/2015,4.530833333
10/21/2015,4.5384375
10/22/2015,5.198958333
10/23/2015,9.035729167
10/24/2015,252.0041667
10/25/2015,1723.645833
10/26/2015,1019.854167
10/27/2015,510.0833333
10/28/2015,190.25
10/29/2015,79.546875
10/30/2015,48.90729167
10/31/2015,847.3458333
11/1/2015,698.86
11/2/2015,398.6666667
11/3/2015,165.4375
11/4/2015,90.39375
11/5/2015,61.98541667
11/6/2015,42.9625
11/7/2015,51.26875
11/8/2015,50.70729167
11/9/2015,35.109375
11/10/2015,30.72083333
11/11/2015,26.06041667
11/12/2015,27.87659574
11/13/2015,24.31770833
11/14/2015,21.9875
11/15/2015,19.72604167
11/16/2015,17.30833333
11/17/2015,201.3291667
11/18/2015,262.0416667
11/19/2015,362.9375
11/20/2015,250.4042553
11/21/2015,293.7820225
11/22/2015,176.4210526
11/23/2015,99.975
11/24/2015,58.56145833
11/25/2015,43.08333333
11/26/2015,36.98854167
11/27/2015,29.028125
11/28/2015,74.28229167
11/29/2015,99.76979167
11/30/2015,76.18541667
12/1/2015,63.27083333
12/2/2015,49.1516129
12/3/2015,39.0125
12/4/2015,34.3875
12/5/2015,28.67604167
12/6/2015,23.19583333
12/7/2015,18.93645833
12/8/2015,15.39791667
12/9/2015,13.290625
12/10/2015,11.65104167
12/11/2015,12.69545455
12/12/2015,35.22291667
12/13/2015,825.8426966
12/14/2015,1001.571429
12/15/2015,874.3833333
